log_timestamp,project_name,collection_name,run_folder,original_file,action_taken,routed_folder,routed_filename,destination,decision,decision_reason,import_recommendation,batlit_match_scope,duplicate_reference,incoming_batch_duplicate_status,incoming_batch_duplicate_reason,incoming_batch_primary_file,incoming_batch_match_files,title,authors,year,doi,md5,sha256,batlit_title,batlit_authors,batlit_year_or_date,batlit_doi,batlit_zotero_id,bat_relevance_status,bat_relevance_reason
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,00-Myanmar-Tourism-Sector-Wide-Assessment (1).pdf,copy_to_non_bat_review,non_bat_review,"Myanmar-Tourism-Sector-Wide-Assessment, undated.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/non_bat_review/Myanmar-Tourism-Sector-Wide-Assessment, undated.pdf",non_bat_review,likely_non_bat_terms,review_scope_before_import,,,,,,,Rick Senley Myanmar Tourism Sector Wide Impact Assessment,,undated,,1419e1328d66411536442a87e0241b19,f9fb14b1fd87bc1793aa062339a104783e3e0d4fb038735ba423a4bf2317724d,,,,,,likely_non_bat,non_bat_terms:cat|mice|tourism
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,007-012 AbdulazizMidfa.pdf,copy_to_new_literature,new_literature,"Abdulazizmidfa, 2000.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/new_literature/Abdulazizmidfa, 2000.pdf",new_literature,no_hash_or_front_matter_doi_match,candidate_for_zotero_import,,,,,,,Ten Years of Conservation Workshops for the,"Abdulaziz al Midfa, David Mallon, Kevin Budd",2000,,be726b7943dd39ea92f2813296730f73,0d99c9b6c710b39eb12520b66bc5c1f8ad75002063d93129fb19e3254b0c3e03,,,,,,bat_relevant,bat_terms:bats
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,01 NSCF-Collection-Management-Conservation-Manual-2021-searchable-2-rotated-1.pdf,copy_to_new_literature,new_literature,"Nscf-Collection-Management-Conservation-Manual, 2021.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/new_literature/Nscf-Collection-Management-Conservation-Manual, 2021.pdf",new_literature,no_hash_or_front_matter_doi_match,candidate_for_zotero_import,,,,,,,"~~ ._, Natural Science",~J,2021,,eb960e3c8148eac46d5d99a637fa5293,ba4a7ff831ed812b1a3cc0b4898159b441dba5c4b3ef7d2e43d18ecc4b202158,,,,,,bat_relevant,bat_terms:bats|vespertilionidae
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,02_pimsai_et_al.pdf,copy_to_new_literature,new_literature,"Pimsai, 2014.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/new_literature/Pimsai, 2014.pdf",new_literature,no_hash_or_front_matter_doi_match,candidate_for_zotero_import,,02_pimsai_et_al.pdf,primary_in_batch,exact_title_author_year_match,02_pimsai_et_al.pdf,02_pimsai_et_al.pdf | 02_pimsai_et_al_petit.pdf,Murine rodents (Rodentia: Murinae),of the Myanmar-Thai-Malaysian peninsula and Singapore:,2014,,d92c654062dc6fbdbcf068f63cc6455d,75912c48bd14e505cb1b2a03080a95f993278b2c63c5e7b235cdc2b28d096fd8,,,,,,bat_relevant,bat_terms:bat|bats|chiroptera|hipposideros|rhinolophidae|rhinolophus|vespertilionidae
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,02_pimsai_et_al_petit.pdf,copy_to_likely_duplicates,likely_duplicates,"Pimsai, 2014.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/likely_duplicates/Pimsai, 2014.pdf",likely_duplicate,incoming_batch_exact_title_author_year_match,review_duplicate_match_before_import,,02_pimsai_et_al.pdf,duplicate_in_batch,exact_title_author_year_match,02_pimsai_et_al.pdf,02_pimsai_et_al.pdf | 02_pimsai_et_al_petit.pdf,Murine rodents (Rodentia: Murinae),of the Myanmar-Thai-Malaysian peninsula and Singapore:,2014,,9475030f7fce303f22af7f6483d6c5f6,fca31f82b29c8d29e61d2f0e2ea8f38f48d71fe4978e04ed2b404a4ed99f34be,,,,,,bat_relevant,bat_terms:bat|bats|chiroptera|hipposideros|rhinolophidae|rhinolophus|vespertilionidae
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,1-308 zoher.pdf,copy_to_new_literature,new_literature,"Zoher, 2012.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/new_literature/Zoher, 2012.pdf",new_literature,no_hash_or_front_matter_doi_match,candidate_for_zotero_import,,,,,,,MAMMALS OF JORDAN 2nd Edition Zuhair Sami Amr Professor in Zoology Department of Biology,,2012,,1240ee6cdba7337cf14a0ea73a9abb1c,57bc77077a5c647349404e3e520f7e253310cf5af6e1ced606fa7b160c4f707c,,,,,,bat_relevant,bat_terms:bat|bats|chiroptera|eptesicus|hipposideros|megachiroptera|microchiroptera|miniopterus
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,1. Esselstyn_et_al_2008.pdf,copy_to_new_literature,new_literature,"Esselstyn, 2008.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/new_literature/Esselstyn, 2008.pdf",new_literature,no_hash_or_front_matter_doi_match,candidate_for_zotero_import,,,,,,,A NEW SPECIES OF DESMALOPEX (PTEROPODIDAE),"FROM THE PHILIPPINES, WITH A PHYLOGENETIC",2008,,a504438ed1b6023218ff67cf9a246c96,a97ca7c60eccd1c3977b9707c240dd0347b009484ab00ab0a38ebfa085162513,,,,,,bat_relevant,bat_terms:bat|bats|chiroptera|cynopterus|megachiroptera|pteropodidae|pteropus|rhinolophidae
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,10. On a Collection of Mammals from Jordan.PDF,copy_to_new_literature,new_literature,"On, undated.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/new_literature/On, undated.pdf",new_literature,no_hash_or_front_matter_doi_match,candidate_for_zotero_import,,,,,,,Dlrrsat Volume Xry(f987) Number l2 On a Collection of Mammals from Jordan,"Zuhair S. Amr, Scott C. Woodbury*",undated,,aae031196113c68f06cc113418dc344a,377639cc434c48fe7d406bb3653acf9a632399e5524057902ec78aa3ba12da8b,,,,,,bat_relevant,bat_terms:bat|bats|chiroptera|megachiroptera|pteropodidae
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,10. Wu et al. (2008).pdf,copy_to_duplicates,duplicates,"Wu, 2008.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/duplicates/Wu, 2008.pdf",duplicate,front_matter_doi_match,do_not_import_known_duplicate,batlit_corpus,A New Species of Horseshoe Bat of the Genus Rhinolophus from China (Chiroptera: Rhinolophidae),,,,,A New Species of Horseshoe Bat of the Genus Rhinolophus from China (Chiroptera: Rhinolophidae),Wu | Motokawa | Harada,2008,10.2108/zsj.25.438,067196849f95d506891b0aa545313431,406e0f16e576a6be6a2b3dbbdf1fabb540bd1b2da38b870b8431d150ec9d60fe,A New Species of Horseshoe Bat of the Genus Rhinolophus from China (Chiroptera: Rhinolophidae),Wu | Motokawa | Harada,04/2008,10.2108/zsj.25.438,https://www.zotero.org/groups/bat_literature_project/items/7WCD234K,bat_relevant,bat_terms:bat|bats|chiroptera|chiropteran|myotis|rhinolophidae|rhinolophus
20260623_134650,BatLit pre-Zotero deduplication pipeline,Bates 2026,20260623_132514_Bates_2026,100. Goodman et al. (2010).pdf,copy_to_duplicates,duplicates,"Goodman, 2010.pdf","/mnt/c/Users/Aja/Dropbox (Personal)/Bat Co-roosting Project/Bat Lit Proj/Codex.BatLit.Pipeline/batlit-dedupe/processed_runs/20260623_132514_Bates_2026/duplicates/Goodman, 2010.pdf",duplicate,front_matter_doi_match,do_not_import_known_duplicate,batlit_corpus,"Patterns of morphological and genetic variation in the endemic Malagasy bat Miniopterus gleni (Chiroptera: Miniopteridae), with the description of a new species, M. griffithsi",,,,,"Patterns of morphological and genetic variation in the endemic Malagasy bat Miniopterus gleni (Chiroptera: Miniopteridae), with the description of a new species, M. griffithsi",Goodman | Maminirina | Bradman | Christidis | Appleton,2010,10.1111/j.1439-0469.2009.00524.x,8da1d0e23ff4347c7b1d23759cab45b5,f8e7b6d2d03efb353015455c11295e39583e961aae80cbeea02d3ed9b1a027f1,"Patterns of morphological and genetic variation in the endemic Malagasy bat Miniopterus gleni (Chiroptera: Miniopteridae), with the description of a new species, M. griffithsi",Goodman | Maminirina | Bradman | Christidis | Appleton,02/2010,10.1111/j.1439-0469.2009.00524.x,https://www.zotero.org/groups/bat_literature_project/items/J7IL9H4F,bat_relevant,bat_terms:bat|bats|chiroptera|chiropteran|hipposideros|microchiroptera|miniopterus|vespertilionidae
